description,Cluster ID,Label,questionId,correctAnswerId
"In the given diagram of areolar connective tissue, the different cells and parts have been marked by alphabets (A, B, C& D). Choose the answer in which these alphabets correctly match with the parts and",2,tissue_Cluster_2,1884,7553
Which of the following statements is incorrect for simple epithelium?,1,epithelium_Cluster_1,1895,7595
The main function of simple cuboidal epithelium is :,1,epithelium_Cluster_1,1896,7599
Epithelial cells of the intestine involved in food absorption have on their surface :,1,epithelium_Cluster_1,1897,7605
Brush border epithelium occurs in :,1,epithelium_Cluster_1,1898,7608
"The tissue which has power of division and regeneration, throughout life, is :",2,tissue_Cluster_2,1899,7610
Gland which is both exocrine and endocrine is :,0,bone_Cluster_0,1900,7617
"This epithelium is made up of a single thin layer of flattened cells and is involved in diffusion, it is found in:",1,epithelium_Cluster_1,1901,7618
"Exoskeleton (e.g. feathers, nails, horns, hooves) originated from :",2,tissue_Cluster_2,1902,7623
Trachea consist of which epithelium ?,1,epithelium_Cluster_1,1903,7627
Characteristic of simple epithelium is :,1,epithelium_Cluster_1,1904,7631
Vesicles of thyroid gland is composed of :,1,epithelium_Cluster_1,1905,7635
Which of the following is not an endocrine gland ?,0,bone_Cluster_0,1906,7641
Characteristic of epithelial tissues is :,2,tissue_Cluster_2,1907,7643
"Which of the following characteristic is typical for all kinds of compound epithelia ? 
 a. Presence of basement membrane 
 b. Presence of germinativum layer of columnar cells
 c. Multilayer of cells 
 d. Basal layer of squamous cells",1,epithelium_Cluster_1,1908,7647
Select the correct matching :,1,epithelium_Cluster_1,1909,7651
"Assertion (A) : Gap junctions connect the cytoplasm of adjoining cells.
 Reason (R) : Gap junctions facilitate the cells to communicate with each other",7,cell_Cluster_7,1910,7655
The major protein of the connective tissues is :,2,tissue_Cluster_2,1911,7659
Inter vertebral discs are composed of :,4,cartilage_Cluster_4,1912,7664
Haversian canal contain :,0,bone_Cluster_0,1913,7666
Fibroblast secretes :,2,tissue_Cluster_2,1914,7672
Mast cell secrete :,2,tissue_Cluster_2,1915,7677
Epiglottis is composed of :,4,cartilage_Cluster_4,1916,7681
All the following cells produces collagen except :,2,tissue_Cluster_2,1917,7685
Matrix of cartilage is produced by :,4,cartilage_Cluster_4,1918,7687
Which of following lacks blood supply ?,4,cartilage_Cluster_4,1919,7691
Sprain of body is due to pulling of :,3,ligament_Cluster_3,1920,7695
Protein present in cartilage is :,4,cartilage_Cluster_4,1921,7699
Ligament connects :,3,ligament_Cluster_3,1922,7703
Scavanger cell of connective tissue proper is called as :,2,tissue_Cluster_2,1923,7709
Cartilage is present in :,4,cartilage_Cluster_4,1924,7710
Regeneration of cartilage can occur from its :,4,cartilage_Cluster_4,1925,7716
What will happen if ligaments are cut or broken ?,3,ligament_Cluster_3,1926,7720
The central shaft of a long bone is known as :,3,ligament_Cluster_3,1927,7722
Haversian system is a diagnostic feature of :,0,bone_Cluster_0,1928,7728
Cartilage is formed by :,4,cartilage_Cluster_4,1929,7733
The membrane that covers cartilage is known as :,4,cartilage_Cluster_4,1930,7735
External ear (pinna) is a flexible structure composed of :,4,cartilage_Cluster_4,1931,7739
Formation of cartilage is known as :,4,cartilage_Cluster_4,1932,7743
Role of bone marrow in mammals is to :,0,bone_Cluster_0,1933,7747
Hyaline cartilage forms :,4,cartilage_Cluster_4,1934,7750
Bone forming cells are known as :,0,bone_Cluster_0,1935,7755
Cardiac muscle fibres are :,5,muscle_Cluster_5,1936,7758
"Which one of the following muscles, gets fatigued very quickly?",5,muscle_Cluster_5,1937,7762
Involuntary muscles are :,5,muscle_Cluster_5,1938,7769
Unstriped muscles are also known as :,5,muscle_Cluster_5,1939,7773
Nodes of Ranvier are found in :,5,muscle_Cluster_5,1940,7776
Which cell-organelle is absent in neurons ?,0,bone_Cluster_0,1941,7780
Select the incorrect statement about nerve fibres :,5,muscle_Cluster_5,1942,7785
The nerve cell can be distinguished from other cells of the body by the presence of :,5,muscle_Cluster_5,1943,7789
The functional connection between two neurons is called:,5,muscle_Cluster_5,1944,7790
Which of the following is a non–excitable cell ?,7,cell_Cluster_7,1945,7796
In non–myelinated nerve fibre of PNS :,5,muscle_Cluster_5,1946,7798
Which of the following cell can't be grown by tissue culture ?,2,tissue_Cluster_2,1947,7805
Which one of the following types of cell is involved in making of the inner walls of blood vessels?,1,epithelium_Cluster_1,1948,7808
To which one of the following categories does adipose tissue belong?,2,tissue_Cluster_2,1949,7811
Which one of the following is not a connective tissue?,2,tissue_Cluster_2,1950,7817
"Match the following and choose the correct option
  Column I     Column II
 A. Adipose tissue   i. Nose
 B. Stratified epithelium   ii. Blood
 C. Hyaline cartilage   iii. Skin
 D. Fluid connective tissue  iv. Fat storage
 Options:",2,tissue_Cluster_2,1951,7819
A muscle fibre tapers at ends and does not show striations is :,5,muscle_Cluster_5,1952,7822
Structural organisation in animals attains different levels as cell–organ–organ system. What is missing in this chain ?,2,tissue_Cluster_2,1953,7827
Which is not a common property of a muscle fibre and a nerve fibre ?,5,muscle_Cluster_5,1954,7833
Mark the odd one :,2,tissue_Cluster_2,1955,7836
Mark the odd one :,4,cartilage_Cluster_4,1956,7841
Mark the odd one :,2,tissue_Cluster_2,1957,7845
Mark the incorrect match :,2,tissue_Cluster_2,1958,7848
Many years old 'mummies' still have their arteries intact due to well preserved :,5,muscle_Cluster_5,1959,7851
"Bone is a solid, rigid connective tissue. If the bone is put into KOH, then the bone will :",0,bone_Cluster_0,1960,7857
Neurons which connect the central nervous system to the receptors are :,5,muscle_Cluster_5,1961,7858
Which type of neuron dominates in the CNS ?,5,muscle_Cluster_5,1962,7865
Mark the connective tissue which is without fibres and matrix is not secreted by its cellular component :,2,tissue_Cluster_2,1963,7868
The percentage of inorganic and organic parts in the matrix of a bone is,0,bone_Cluster_0,1964,7872
